AIRPORT_ICAO,AIRPORT_IATA,AIRPORT_NAME,AIRPORT_CITY,AIRPORT_CITY_CD,AIRPORT_STATE_CD,AIRPORT_COUNTRY_CD,AIRPORT_COUNTRY,AIRPORT_REGION,AIRPORT_REGION_TIMEZONE,UTC_HR_OFFSET,AIRPORT_LATITUDE,AIRPORT_LONGITUDE,AIRPORT_ELEVATION,AIRPORT_SIZE,UPDATED_DT
AGGA,AKS,"Gwaunaru'u Airport",Auki,AKS,"",SB,Solomon Islands,Oceania,Pacific/Guadalcanal,11,-8.70428,160.681469,19,4,2017-10-10 11:17:20
AGGE,BAS,Balalae Airport,Balalae,BAS,"",SB,Solomon Islands,Oceania,Pacific/Guadalcanal,11,-6.993418,155.883276,53,4,2017-10-10 11:17:20
AGGH,HIR,Honiara International Airport,Honiara,HIR,"",SB,Solomon Islands,Oceania,Pacific/Guadalcanal,11,-9.428592,160.048182,30,4,2017-10-10 11:17:20
AGGL,SCZ,Santa Cruz Island Airport,Santa Cruz Island,SCZ,"",SB,Solomon Islands,Oceania,Pacific/Guadalcanal,11,-10.719397,165.797497,29,4,2017-10-10 11:17:20
AGGM,MUA,Munda Airport,Munda,MUA,"",SB,Solomon Islands,Oceania,Pacific/Guadalcanal,11,-8.32794,157.269712,9,4,2017-10-10 11:17:20
AGGN,GZO,Nusatupe Airport,Gizo,GZO,"",SB,Solomon Islands,Oceania,Pacific/Guadalcanal,11,-8.097871,156.863752,27,4,2017-10-10 11:17:20
AGGO,MNY,Mono Airport,Mono,MNY,"",SB,Solomon Islands,Oceania,Pacific/Guadalcanal,11,-7.417428,155.564628,117,4,2017-10-10 11:17:20
AGJO,JJA,Jajao Airport,Santa Isabel Island,"","",SB,Solomon Islands,Oceania,Pacific/Guadalcanal,11,-8.21666,159.26666,597,4,2017-10-10 11:17:20
ANAU,INU,Nauru Island International Airport,Nauru Island,INU,"",NR,Nauru,Oceania,Pacific/Nauru,12,-0.533333,166.916667,22,4,2017-10-10 11:17:20
APPB,PBO,Paraburdoo Airport,Paraburdoo,PBO,WA,AU,Australia,Oceania,Australia/Perth,8,-23.173908,117.748002,1406,4,2017-10-10 11:17:20
AYGA,GKA,Goroka Airport,Goroka,GKA,"",PG,Papua New Guinea,Asia,Pacific/Port_Moresby,10,-6.075244,145.392933,5208,4,2017-10-10 11:17:20
AYMD,MAG,Madang Airport,Madang,MAG,"",PG,Papua New Guinea,Asia,Pacific/Port_Moresby,10,-5.210852,145.787849,11,4,2017-10-10 11:17:20
AYMH,HGU,Mount Hagen Airport,Mount Hagen,HGU,"",PG,Papua New Guinea,Asia,Pacific/Port_Moresby,10,-5.828767,144.297376,5350,4,2017-10-10 11:17:20
AYNZ,LAE,Nadzab Airport,Lae,LAE,"",PG,Papua New Guinea,Asia,Pacific/Port_Moresby,10,-6.566117,146.728205,230,4,2017-10-10 11:17:20
AYOO,KOM,Komo Airport,Komo,KOM,"",PG,Papua New Guinea,Asia,Pacific/Port_Moresby,10,-6.0682,142.8598,5055,4,2017-10-10 11:17:20
AYPY,POM,Jacksons International Airport,Port Moresby,POM,"",PG,Papua New Guinea,Asia,Pacific/Port_Moresby,10,-9.444308,147.214469,126,3,2017-10-10 11:17:20
AYQO,SPH,Sopu Airport,Sopu,SPH,"",PG,Papua New Guinea,Asia,Pacific/Port_Moresby,10,-8.3038,147.1659,6488,4,2017-10-10 11:17:20
AYRB,RAB,Tokua Airport,Rabaul,RAB,"",PG,Papua New Guinea,Asia,Pacific/Port_Moresby,10,-4.342004,152.376486,45,4,2017-10-10 11:17:20
AYWD,WBM,Wapenamanda Airport,Wapenamanda,WBM,"",PG,Papua New Guinea,Asia,Pacific/Port_Moresby,10,-5.633084,143.89102,5895,4,2017-10-10 11:17:20
AYWK,WWK,Boram Airport,Wewak,WWK,"",PG,Papua New Guinea,Asia,Pacific/Port_Moresby,10,-3.580034,143.669155,19,4,2017-10-10 11:17:20
BGAG,AOQ,Aappilattoq-Upernanik Heliport,Aappilattoq,"","",GL,Greenland,North America,America/Godthab,-3,72.887041,-55.596145,0,4,2017-12-13 18:29:45
BGAM,AGM,Ammassalik Heliport,Tasiilaq,AGM,"",GL,Greenland,North America,America/Godthab,-3,65.612256,-37.61831,56,4,2017-12-13 18:29:45
BGAP,LLU,Alluitsup Paa Heliport,Alluitsup Paa,LLU,"",GL,Greenland,North America,America/Godthab,-3,60.464529,-45.588847,51,4,2017-12-13 18:29:45
BGAQ,QUV,Aappilattoq-Nanortalik Heliport,Aappilattoq,"","",GL,Greenland,North America,America/Godthab,-3,60.148344,-44.286883,4,4,2017-12-13 18:29:45
BGAS,QUW,Ammassivik Heliport,Ammassivik,"","",GL,Greenland,North America,America/Godthab,-3,60.596143,-45.377452,65,4,2017-12-13 18:29:45
BGBW,UAK,Narsarsuaq Airport,Narsarsuaq,UAK,"",GL,Greenland,North America,America/Godthab,-3,61.162598,-45.417921,214,4,2017-12-13 18:29:45
BGCO,CNP,Neerlerit Inaat Airport,Neerlerit Inaat,CNP,"",GL,Greenland,North America,America/Scoresbysund,-1,70.743056,-22.658333,45,4,2017-12-13 18:29:45
BGEM,JEG,Aasiaat Airport,Aasiaat,JEG,"",GL,Greenland,North America,America/Godthab,-3,68.7,-52.75,0,4,2017-12-13 18:29:45
BGET,QFG,Eqalugaarsuit Heliport,Eqalugaarsuit,"","",GL,Greenland,North America,America/Godthab,-3,60.619732,-45.914074,31,4,2017-12-13 18:29:45
BGFD,QFN,Narsaq Kujalleq Heliport,Narsaq Kujalleq,"","",GL,Greenland,North America,America/Godthab,-3,60.004684,-44.656972,41,4,2017-12-13 18:29:45
BGFH,JFR,Paamiut Airport,Paamiut,JFR,"",GL,Greenland,North America,America/Godthab,-3,62.000278,-49.700278,0,4,2017-12-13 18:29:45
BGGH,GOH,Nuuk Airport,Nuuk,GOH,"",GL,Greenland,North America,America/Godthab,-3,64.181944,-51.725,283,4,2017-12-13 18:29:45
BGHB,JHS,Sisimiut Airport,Sisimiut,JHS,"",GL,Greenland,North America,America/Godthab,-3,66.936944,-53.704167,0,4,2017-12-13 18:29:45
BGIA,IKE,Ikerasak Heliport,Ikerasak,"","",GL,Greenland,North America,America/Godthab,-3,70.498145,-51.303084,59,4,2017-12-13 18:29:45
BGIG,QFI,Iginniarfik Heliport,Iginniarfik,QFI,"",GL,Greenland,North America,America/Godthab,-3,68.145864,-53.169259,3,4,2017-12-13 18:29:45
BGIK,QRY,Ikerasaarsuk Heliport,Ikerasaarsuk,QRY,"",GL,Greenland,North America,America/Godthab,-3,68.140895,-53.441474,36,4,2017-12-13 18:29:45
BGIN,IUI,Innarsuit Heliport,Innarsuit,"","",GL,Greenland,North America,America/Godthab,-3,73.202364,-56.011326,8,4,2017-12-13 18:29:45
BGIO,QFX,Igaliku Heliport,Igaliku,"","",GL,Greenland,North America,America/Godthab,-3,60.990563,-45.421484,55,4,2017-12-13 18:29:45
BGIS,IOQ,Isortoq Heliport,Isortoq,"","",GL,Greenland,North America,America/Godthab,-3,65.54665,-38.977981,3,4,2017-12-13 18:29:45
BGJN,JAV,Ilulissat Airport,Ilulissat,JAV,"",GL,Greenland,North America,America/Godthab,-3,69.241856,-51.059911,98,4,2017-12-13 18:29:45
BGKK,KUS,Kulusuk Airport,Kulusuk,KUS,"",GL,Greenland,North America,America/Godthab,-3,65.566667,-37.116667,114,4,2017-12-13 18:29:45
BGKL,UPK,Upernavik Kujalleq Heliport,Upernavik Kujalleq,"","",GL,Greenland,North America,America/Godthab,-3,72.15273,-55.531099,3,4,2017-12-13 18:29:45
BGKM,KUZ,Kuummiit Heliport,Kuummiit,KUV,"",GL,Greenland,North America,America/Godthab,-3,65.864128,-36.998001,126,4,2017-12-13 18:29:45
BGKQ,KHQ,Kullorsuaq Heliport,Kullorsuaq,"","",GL,Greenland,North America,America/Godthab,-3,74.579439,-57.23544,11,4,2017-12-13 18:29:45
BGKS,KGQ,Kangersuatsiaq Heliport,Kangersuatsiaq,"","",GL,Greenland,North America,America/Godthab,-3,72.381092,-55.536586,3,4,2017-12-13 18:29:45
BGKT,QJE,Kitsissuarsuit Heliport,Kitsissuarsuit,QJE,"",GL,Greenland,North America,America/Godthab,-3,68.857926,-53.123296,3,4,2017-12-13 18:29:45
BGLL,IOT,Illorsuit Heliport,Illorsuit,"","",GL,Greenland,North America,America/Godthab,-3,71.23977,-53.555393,104,4,2017-12-13 18:29:45
BGMQ,JSU,Maniitsoq Airport,Maniitsoq,JSU,"",GL,Greenland,North America,America/Godthab,-3,65.412439,-52.93537,96,4,2017-12-13 18:29:45
BGNN,JNN,Nanortalik Heliport,Nanortalik,JNN,"",GL,Greenland,North America,America/Godthab,-3,60.141883,-45.232961,7,4,2017-12-13 18:29:45
BGNQ,JUU,Nuugaatsiaq Heliport,Nuugaatsiaq,"","",GL,Greenland,North America,America/Godthab,-3,71.538769,-53.205038,144,4,2017-12-13 18:29:45
BGNT,NIQ,Niaqornat Heliport,Niaqornat,"","",GL,Greenland,North America,America/Godthab,-3,70.789442,-53.656142,28,4,2017-12-13 18:29:45
BGNU,NSQ,Nuussuaq Heliport,Nuussuaq,"","",GL,Greenland,North America,America/Godthab,-3,74.109853,-57.065037,3,4,2017-12-13 18:29:45
BGQE,PQT,Qeqertaq Heliport,Qeqertaq,"","",GL,Greenland,North America,America/Godthab,-3,69.999466,-51.303705,3,4,2017-12-13 18:29:45
BGQK,QFT,Qassiarsuk Heliport,Qassiarsuk,"","",GL,Greenland,North America,America/Godthab,-3,61.152501,-45.519467,147,4,2017-12-13 18:29:45
BGQT,QJH,Qassimiut Heliport,Qassimiut,"","",GL,Greenland,North America,America/Godthab,-3,60.779352,-47.152561,3,4,2017-12-13 18:29:45
BGSC,OBY,Ittoqqortoormiit Heliport,Ittoqqortoormiit,OBY,"",GL,Greenland,North America,America/Scoresbysund,-1,70.488333,-21.971944,235,4,2017-12-13 18:29:45
BGSF,SFJ,Kangerlussuaq Airport,Kangerlussuaq,SFJ,"",GL,Greenland,North America,America/Godthab,-3,67.012222,-50.719722,165,4,2017-12-13 18:29:45
BGSI,SRK,Siorapaluk Heliport,Siorapaluk,SRK,"",GL,Greenland,North America,America/Thule,-4,77.786526,-70.638584,235,4,2017-12-13 18:29:45
BGSO,QOQ,Saarloq Heliport,Saarloq,"","",GL,Greenland,North America,America/Godthab,-3,60.537829,-46.02475,3,4,2017-12-13 18:29:45
BGSQ,QUP,Saqqaq Heliport,Saqqaq,QUP,"",GL,Greenland,North America,America/Godthab,-3,70.05,-52,388,4,2017-12-13 18:29:45
BGST,SAE,Saattut Heliport,Saattut,SAE,"",GL,Greenland,North America,America/Godthab,-3,70.808742,-51.626467,74,4,2017-12-13 18:29:45
BGSV,SVR,Savissivik Heliport,Savissivik,SVR,"",GL,Greenland,North America,America/Thule,-4,76.018608,-65.117578,0,4,2017-12-13 18:29:45
BGTA,TQA,Tasiusaq Heliport (Upernavik),Tasiusaq,"","",GL,Greenland,North America,America/Godthab,-3,73.373056,-56.060278,3,4,2017-12-13 18:29:45
BGTL,THU,Thule Air Base,Pituffik,THU,"",GL,Greenland,North America,America/Thule,-4,76.533333,-68.7,251,4,2017-12-13 18:29:45
BGTN,TQI,Tiniteqilaaq Heliport,Tiniteqilaaq,"","",GL,Greenland,North America,America/Godthab,-3,65.892015,-37.783347,3,4,2017-12-13 18:29:45
BGUK,JUV,Upernavik Airport,Upernavik,JUV,"",GL,Greenland,North America,America/Godthab,-3,72.790278,-56.130556,3,4,2017-12-13 18:29:45
BGUM,UMD,Uummannaq Heliport,Uummannaq,UMD,"",GL,Greenland,North America,America/Godthab,-3,70.680362,-52.111657,5,4,2017-12-13 18:29:45
BGUT,JUK,Ukkusissat Heliport,Ukkusissat,"","",GL,Greenland,North America,America/Godthab,-3,71.049438,-51.890016,0,4,2017-12-13 18:29:45
BIAR,AEY,Akureyri Airport,Akureyri,AEY,"",IS,Iceland,Europe,Atlantic/Reykjavik,0,65.654567,-18.075068,6,4,2017-10-10 11:17:20
BIBL,BLO,Blonduos Airport,Blonduos,BLO,"",IS,Iceland,Europe,Atlantic/Reykjavik,0,65.666667,-20.3,131,5,2017-10-10 11:17:20
BIEG,EGS,Egilsstadir Airport,Egilsstadir,EGS,"",IS,Iceland,Europe,Atlantic/Reykjavik,0,65.277778,-14.402778,76,4,2017-10-10 11:17:20
BIGR,GRY,Grimsey Airport,Grimsey,GRY,"",IS,Iceland,Europe,Atlantic/Reykjavik,0,66.54799,-18.020378,111,4,2017-10-10 11:17:20
BIHN,HFN,Hornafjordur Airport,Hornafjordur,HFN,"",IS,Iceland,Europe,Atlantic/Reykjavik,0,64.283333,-15.266667,30,5,2017-10-10 11:17:20
BIHU,HZK,Husavik Airport,Husavik,HZK,"",IS,Iceland,Europe,Atlantic/Reykjavik,0,65.955754,-17.419672,20,4,2017-10-10 11:17:20
BIIS,IFJ,Isafjordur Airport,Isafjordur,IFJ,"",IS,Iceland,Europe,Atlantic/Reykjavik,0,66.059722,-23.132778,10,4,2017-10-10 11:17:20
BIKF,KEF,Keflavik International Airport,Reykjavik,REK,"",IS,Iceland,Europe,Atlantic/Reykjavik,0,63.997765,-22.624283,171,3,2017-10-10 11:17:20
BIKR,SAK,Saudarkrokur Airport,Saudarkrokur,SAK,"",IS,Iceland,Europe,Atlantic/Reykjavik,0,65.75,-19.65,8,5,2017-10-10 11:17:20
BINF,NOR,Nordfjordur Airport,Nordfjordur,NOR,"",IS,Iceland,Europe,Atlantic/Reykjavik,0,65.131883,-13.746385,0,5,2017-10-10 11:17:20
BIPA,PFJ,Patrekstjord Airport,Patrekstjord,PFJ,"",IS,Iceland,Europe,Atlantic/Reykjavik,0,65.033333,-19.008333,10,5,2017-10-10 11:17:20
BIRG,RFN,Raufarhofn Airport,Raufarhofn,RFN,"",IS,Iceland,Europe,Atlantic/Reykjavik,0,66.416667,-15.016667,39,5,2017-10-10 11:17:20
BIRK,RKV,Reykjavik International Airport,Reykjavik,REK,"",IS,Iceland,Europe,Atlantic/Reykjavik,0,64.131055,-21.932476,45,4,2017-10-10 11:17:20
BISI,SIJ,Siglufjordur Airport,Siglufjordur,SIJ,"",IS,Iceland,Europe,Atlantic/Reykjavik,0,66.166667,-18.933333,10,5,2017-10-10 11:17:20
BIST,SYK,Stykkisholmur Airport,Stykkisholmur,SYK,"",IS,Iceland,Europe,Atlantic/Reykjavik,0,65.1,-22.8,42,5,2017-10-10 11:17:20
BITE,TEY,Thingeyri Airport,Thingeyri,TEY,"",IS,Iceland,Europe,Atlantic/Reykjavik,0,65.883333,-23.45,65,5,2017-10-10 11:17:20
BITN,THO,Thorshofn Airport,Thorshofn,THO,"",IS,Iceland,Europe,Atlantic/Reykjavik,0,66.220705,-15.332381,12,4,2017-10-10 11:17:20
BIVM,VEY,Vestmannaeyjar Airport,Vestmannaeyjar,VEY,"",IS,Iceland,Europe,Atlantic/Reykjavik,0,63.426389,-20.277778,318,4,2017-10-10 11:17:20
BIVO,VPN,Vopnafjordur Airport,Vopnafjordur,VPN,"",IS,Iceland,Europe,Atlantic/Reykjavik,0,65.720596,-14.8506,15,4,2017-10-10 11:17:20
CAB5,YBM,Bronson Creek Airport,Bronson Creek,YBM,BC,CA,Canada,North America,America/Vancouver,-8,56.7,-131,443,5,2017-12-13 18:29:45
CAD4,YZZ,Trail Airport,Trail,"",BC,CA,Canada,North America,America/Vancouver,-8,49.055614,-117.609222,1422,4,2017-12-13 18:29:45
CAD5,YMB,Merritt Airport,Merritt,YMB,BC,CA,Canada,North America,America/Vancouver,-8,50.116667,-120.75,2080,5,2017-12-13 18:29:45
CAH3,YCA,Courtenay Airport,Courtenay,YCA,BC,CA,Canada,North America,America/Vancouver,-8,49.683333,-124.983333,9,4,2017-12-13 18:29:45
CAJ3,CFQ,Creston Airport,Creston,CFQ,BC,CA,Canada,North America,America/Vancouver,-8,49.036944,-116.498333,2070,5,2017-12-13 18:29:45
CAJ4,YAA,Anahim Lake Airport,Anahim Lake,YAA,BC,CA,Canada,North America,America/Vancouver,-8,52.45685,-125.307311,3623,4,2017-12-13 18:29:45
CAL3,DGF,Douglas Lake Airport,Douglas Lake,DGF,BC,CA,Canada,North America,America/Vancouver,-8,50.166667,-120.183333,2700,5,2017-12-13 18:29:45
CAM3,DUQ,Duncan/Quam Airport,Duncan/Quam,DUQ,BC,CA,Canada,North America,America/Vancouver,-8,48.783333,-123.7,310,4,2017-12-13 18:29:45
CAP3,YHS,Sechelt Airport,Sechelt,YHS,BC,CA,Canada,North America,America/Vancouver,-8,49.466667,-123.75,250,5,2017-12-13 18:29:45
CBBC,ZEL,Campbell Island Airport,Bella Bella,ZEL,BC,CA,Canada,North America,America/Vancouver,-8,52.185001,-128.156994,129,4,2017-12-13 18:29:45
CBM5,YTX,Telegraph Creek Airport,Telegraph Creek,YTX,BC,CA,Canada,North America,America/Vancouver,-8,57.9,-131.15,1100,5,2017-12-13 18:29:45
CBX5,TNS,Cantung Airport,Tungsten,TNS,NT,CA,Canada,North America,America/Edmonton,-7,61.956902,-128.203003,3632,5,2017-12-13 18:29:45
CBX7,TUX,Tumbler Ridge Airport,Tumbler Ridge,TUX,BC,CA,Canada,North America,America/Vancouver,-8,55.1,-121.083333,3075,5,2017-12-13 18:29:45
CCA6,YWM,Williams Harbour Airport,Williams Harbour,YWM,NL,CA,Canada,North America,America/St_Johns,-3.5,52.566879,-55.784262,80,4,2017-12-13 18:29:45
CCB4,YDI,Davis Inlet Airport,Davis Inlet,YDI,NL,CA,Canada,North America,America/Halifax,-4,55.933333,-60.95,45,5,2017-12-13 18:29:45
CCD4,YSO,Postville Airport,Postville,YSO,NL,CA,Canada,North America,America/Halifax,-4,54.916667,-59.966667,193,4,2017-12-13 18:29:45
CCE4,YBI,Black Tickle Airport,Black Tickle,YBI,NL,CA,Canada,North America,America/Halifax,-4,53.468248,-55.785678,53,4,2017-12-13 18:29:45
CCH4,YHG,Charlottetown Airport,Charlottetown,YHG,NL,CA,Canada,North America,America/St_Johns,-3.5,52.765459,-56.118263,137,4,2017-12-13 18:29:45
CCK4,YFX,Fox Harbour Airport,Fox Harbour,YFX,NL,CA,Canada,North America,America/St_Johns,-3.5,52.370953,-55.676069,26,4,2017-12-13 18:29:45
CCZ2,YRG,Rigolet Airport,Rigolet,YRG,NL,CA,Canada,North America,America/Halifax,-4,54.333333,-58.416667,180,4,2017-12-13 18:29:45
CEB3,YCK,Colville Lake Airport,Colville Lake,YCK,NT,CA,Canada,North America,America/Edmonton,-7,67.039932,-126.090471,850,4,2017-12-13 18:29:45
CEB5,ZFW,Fairview Airport,Fairview,ZFW,AB,CA,Canada,North America,America/Edmonton,-7,56.066667,-118.383333,2166,5,2017-12-13 18:29:45
CEC4,YJA,Jasper Airport,Jasper,YJA,AB,CA,Canada,North America,America/Edmonton,-7,52.992122,-118.057523,3350,4,2017-12-13 18:29:45
CEM3,YLE,Whati Airport,Whati/Lac La Martre,YLE,NT,CA,Canada,North America,America/Edmonton,-7,63.132944,-117.243177,897,4,2017-12-13 18:29:45
CEN5,YOD,R.W. McNair Airport,Cold Lake,YOD,AB,CA,Canada,North America,America/Edmonton,-7,54.404999,-110.278999,1770,4,2017-12-13 18:29:45
CEQ5,YGC,Grande Cache Airport,Grande Cache,YGC,AB,CA,Canada,North America,America/Edmonton,-7,53.916667,-118.866667,4117,5,2017-12-13 18:29:45
CER3,YDC,Industrial Airport,Drayton Valley,YDC,AB,CA,Canada,North America,America/Edmonton,-7,53.2,-114.966667,2776,5,2017-12-13 18:29:45
CEV4,YRA,Gameti Rae Lakes Airport,Rae Lakes,YRA,NT,CA,Canada,North America,America/Edmonton,-7,64.116888,-117.311732,762,4,2017-12-13 18:29:45
CFA7,GSL,Taltheilei Narrows Airport,Taltheilei Narrows,GSL,NT,CA,Canada,North America,America/Edmonton,-7,62.5975,-111.544444,570,5,2017-12-13 18:29:45
CFC4,XMP,Macmillan Pass Airport,Macmillan Pass,XMP,YT,CA,Canada,North America,America/Vancouver,-8,62.866667,-135.916667,3810,5,2017-12-13 18:29:45
CFJ2,YFJ,Wekweeti Airport,Snare Lake,YFJ,NT,CA,Canada,North America,America/Edmonton,-7,64.190556,-114.075556,1208,4,2017-12-13 18:29:45
CJL2,YDJ,Hatchet Lake Airport,Hatchet Lake,YDJ,SK,CA,Canada,North America,America/Regina,-6,58.660556,-102.539444,1300,5,2017-10-10 11:17:20
CJL8,YDU,Kasba Lake Airport,Kasba Lake,YDU,NT,CA,Canada,North America,America/Winnipeg,-6,60.290278,-102.503333,1150,5,2017-12-13 18:29:45
CJS3,XCL,Cluff Lake Airport,Cluff Lake,XCL,SK,CA,Canada,North America,America/Regina,-6,59,-107,1112,5,2017-10-10 11:17:20
CJS4,YMJ,C.M. McEwen Airport,Moose Jaw,YMJ,SK,CA,Canada,North America,America/Regina,-6,50.330287,-105.556196,1894,5,2017-12-13 18:29:45
CJT3,YKE,Knee Lake Airport,Knee Lake,YKE,MB,CA,Canada,North America,America/Winnipeg,-6,53.05,-94.666667,574,5,2017-12-13 18:29:45
CJV7,SUR,Summer Beaver Airport,Summer Beaver,SUR,ON,CA,Canada,North America,America/Toronto,-5,52.715278,-88.5475,832,4,2017-12-13 18:29:45
CJY3,YTT,Tisdale Airport,Tisdale,YTT,SK,CA,Canada,North America,America/Regina,-6,52.85,-104.066667,1525,5,2017-10-10 11:17:20
CKB6,YAX,Wapekeka Airport,Angling Lake,YAX,ON,CA,Canada,North America,America/Winnipeg,-6,53.849215,-89.579408,696,4,2017-12-13 18:29:45
CKL3,WNN,Wunnummin Lake Airport,Wunnummin Lake,WNN,ON,CA,Canada,North America,America/Winnipeg,-6,52.916667,-89.166667,819,4,2017-12-13 18:29:45
CNE3,XBE,Bearskin Lake Airport,Bearskin Lake,XBE,ON,CA,Canada,North America,America/Winnipeg,-6,53.95,-90.983333,807,4,2017-12-13 18:29:45
CNK4,YPD,Parry Sound Airport,Parry Sound,YPD,ON,CA,Canada,North America,America/Toronto,-5,45.255391,-79.827109,821,4,2017-12-13 18:29:45
CNL3,XBR,Brockville Airport,Brockville,XBR,ON,CA,Canada,North America,America/Toronto,-5,44.583333,-75.683333,396,4,2017-12-13 18:29:45
CNM5,KIF,Kingfisher Lake Airport,Kingfisher Lake,KIF,ON,CA,Canada,North America,America/Winnipeg,-6,53.013889,-89.85,866,4,2017-12-13 18:29:45
CNS7,YKD,Kincardine Airport,Kincardine,YKD,ON,CA,Canada,North America,America/Toronto,-5,44.201389,-81.606667,768,5,2017-12-13 18:29:45
CNT3,YOG,Ogoki Airport,Ogoki,YOG,ON,CA,Canada,North America,America/Toronto,-5,51.666667,-85.916667,602,4,2017-12-13 18:29:45
CNZ3,XCM,Chatham Airport,Chatham,XCM,ON,CA,Canada,North America,America/Toronto,-5,42.4,-82.183333,0,4,2017-12-13 18:29:45
CPV8,KEW,Keewaywin Airport,Keewaywin,KEW,ON,CA,Canada,North America,America/Winnipeg,-6,52.992222,-92.838889,1040,4,2017-12-13 18:29:45
CSH4,YLS,Lebel-Sur-Quevillon Airport,Lebel-Sur-Quevillon,YLS,QC,CA,Canada,North America,America/Toronto,-5,49.033333,-77.016667,960,5,2017-12-13 18:29:45
CSR8,SSQ,La Sarre Airport,La Sarre,SSQ,QC,CA,Canada,North America,America/Toronto,-5,48.913745,-79.180253,1002,4,2017-12-13 18:29:45
CUHA,YQC,Quaqtaq Airport,Quaqtaq,YQC,QC,CA,Canada,North America,America/Toronto,-5,61.333333,-69.633333,104,4,2017-12-13 18:29:45
CWTO,WTO,Wotho Airport,Wotho,WTO,"",MH,Marshall Islands,Oceania,Pacific/Majuro,12,10.166667,166.033333,0,5,2017-10-10 11:17:20
CYAC,YAC,Cat Lake Airport,Cat Lake,YAC,ON,CA,Canada,North America,America/Winnipeg,-6,51.716667,-91.816667,1343,4,2017-12-13 18:29:45
CYAD,YAR,La Grande-3 Airport,La Grande-3,YAR,QC,CA,Canada,North America,America/Toronto,-5,53.571406,-76.18887,746,4,2017-12-13 18:29:45
CYAG,YAG,Fort Frances Municipal Airport,Fort Frances,YAG,ON,CA,Canada,North America,America/Winnipeg,-6,48.652778,-93.447222,1125,4,2017-12-13 18:29:45
CYAH,YAH,La Grande-4 Airport,La Grande-4,YAH,QC,CA,Canada,North America,America/Toronto,-5,53.754126,-73.678192,994,4,2017-12-13 18:29:45
CYAL,YAL,Alert Bay Airport,Alert Bay,YAL,BC,CA,Canada,North America,America/Vancouver,-8,50.583333,-126.916667,220,5,2017-12-13 18:29:45
CYAM,YAM,Sault Ste. Marie Airport,Sault Ste. Marie,YAM,ON,CA,Canada,North America,America/Toronto,-5,46.485301,-84.499949,630,4,2017-12-13 18:29:45
CYAQ,XKS,Kasabonika Airport,Kasabonika,XKS,ON,CA,Canada,North America,America/Winnipeg,-6,53.52,-88.646667,621,4,2017-12-13 18:29:45
CYAS,YKG,Kangirsuk Airport,Kangirsuk,YKG,QC,CA,Canada,North America,America/Toronto,-5,60.023082,-70.004602,383,4,2017-12-13 18:29:45
CYAT,YAT,Attawapiskat Airport,Attawapiskat,YAT,ON,CA,Canada,North America,America/Toronto,-5,52.941667,-82.4,31,4,2017-12-13 18:29:45
CYAW,YAW,Shearwater Airport,Halifax,YHZ,NS,CA,Canada,North America,America/Halifax,-4,44.866667,-63.616667,167,5,2017-12-13 18:29:45
CYAY,YAY,St. Anthony Airport,Saint Anthony,YAY,NL,CA,Canada,North America,America/St_Johns,-3.5,51.366667,-55.583333,92,4,2017-12-13 18:29:45
CYAZ,YAZ,Tofino Long Beach Airport,Tofino,YAZ,BC,CA,Canada,North America,America/Vancouver,-8,49.078163,-125.768599,89,4,2017-12-13 18:29:45
CYBB,YBB,Kugaaruk Airport,Pelly Bay,YUF,NU,CA,Canada,North America,America/Edmonton,-7,68.538173,-89.791847,19,4,2017-12-13 18:29:45
CYBC,YBC,Baie-Comeau Airport,Baie Comeau,YBC,QC,CA,Canada,North America,America/Toronto,-5,49.13321,-68.198988,71,4,2017-12-13 18:29:45
CYBD,QBC,Bella Coola Airport,Bella Coola,QBC,BC,CA,Canada,North America,America/Vancouver,-8,52.333333,-126.666667,115,4,2017-12-13 18:29:45
CYBE,YBE,Uranium City Airport,Uranium City,YBE,SK,CA,Canada,North America,America/Regina,-6,59.566667,-108.483333,1044,5,2017-10-10 11:17:20
CYBF,YBY,Bonnyville Airport,Bonnyville,YBY,AB,CA,Canada,North America,America/Edmonton,-7,54.304758,-110.750772,1833,4,2017-12-13 18:29:45
CYBG,YBG,Saguenay-Bagotville Airport,La Baie,YBG,QC,CA,Canada,North America,America/Toronto,-5,48.333417,-70.985892,522,4,2017-12-13 18:29:45
CYBH,YBH,Bull Harbour Seaplane Base,Bull Harbour,YBH,BC,CA,Canada,North America,America/Vancouver,-8,50.917969,-127.937245,0,5,2017-12-13 18:29:45
CYBK,YBK,Baker Lake Airport,Baker Lake,YBK,NU,CA,Canada,North America,America/Winnipeg,-6,64.3,-96.083333,59,4,2017-12-13 18:29:45
CYBL,YBL,Campbell River Airport,Campbell River,YBL,BC,CA,Canada,North America,America/Vancouver,-8,49.951726,-125.268126,346,4,2017-12-13 18:29:45
CYBQ,XTL,Tadoule Lake Airport,Tadoule Lake,XTL,MB,CA,Canada,North America,America/Winnipeg,-6,58.707956,-98.513441,882,4,2017-12-13 18:29:45
CYBR,YBR,Brandon Municipal Airport,Brandon,YBR,MB,CA,Canada,North America,America/Winnipeg,-6,49.908687,-99.946773,1330,4,2017-12-13 18:29:45
CYBT,YBT,Brochet Airport,Brochet,YBT,MB,CA,Canada,North America,America/Winnipeg,-6,57.888469,-101.678994,1121,4,2017-12-13 18:29:45
